sides, turns, p
1, 17, 1
2, 11, 0.03634
3, 16, 0.025744
4, 15, 0.028717
5, 15, 0.031136
6, 12, 0.031579
7, 12, 0.030982
8, 10, 0.031839
9, 10, 0.033403
10, 10, 0.034183
11, 9, 0.032419
12, 8, 0.031558
13, 8, 0.030662
14, 8, 0.030819
15, 7, 0.032064
16, 7, 0.032479
17, 6, 0.032815
18, 6, 0.032123
19, 6, 0.031652
20, 6, 0.031363
21, 6, 0.030579
22, 5, 0.030256
23, 5, 0.030145
24, 5, 0.030219
25, 5, 0.029779
26, 5, 0.029259
27, 5, 0.028738
28, 4, 0.028209
29, 4, 0.028357
30, 4, 0.027948
31, 4, 0.027502
32, 4, 0.027046
33, 4, 0.027689
34, 4, 0.027213
35, 4, 0.026919
36, 4, 0.026194
37, 3, 0.02674
38, 4, 0.026158
39, 3, 0.025977
40, 3, 0.025418
41, 3, 0.025413
42, 3, 0.024947
43, 3, 0.024562
44, 3, 0.02414
45, 3, 0.023708
46, 3, 0.023567
47, 3, 0.023082
48, 3, 0.022268
49, 3, 0.022184
50, 3, 0.022125
