turns, p
1, 0.000615
2, 0.00371
3, 0.00778
4, 0.012715
5, 0.017503
6, 0.023027
7, 0.028209
8, 0.032352
9, 0.03428
10, 0.034103
11, 0.033666
12, 0.031698
13, 0.0299
14, 0.028851
15, 0.027555
16, 0.026261
17, 0.025434
18, 0.024485
19, 0.023334
20, 0.022536
21, 0.021534
22, 0.020447
23, 0.019885
24, 0.019012
25, 0.018277
26, 0.017398
27, 0.016677
28, 0.015977
29, 0.015459
30, 0.015055
31, 0.014062
32, 0.013588
33, 0.013333
34, 0.012504
35, 0.012206
36, 0.011751
37, 0.011123
38, 0.010606
39, 0.010086
40, 0.009901
41, 0.009412
42, 0.008981
43, 0.008663
44, 0.008502
45, 0.008196
46, 0.00769
47, 0.007349
48, 0.007002
49, 0.006818
50, 0.006539
51, 0.006172
52, 0.006047
53, 0.005664
54, 0.00541
55, 0.005201
56, 0.005045
57, 0.004821
58, 0.004654
59, 0.004346
60, 0.004321
61, 0.004014
62, 0.003917
63, 0.003851
64, 0.003667
65, 0.003425
66, 0.003284
67, 0.003267
68, 0.003135
69, 0.003017
70, 0.002808
71, 0.002741
72, 0.002648
73, 0.002534
74, 0.002428
75, 0.002273
76, 0.002239
77, 0.002084
78, 0.002055
79, 0.001922
80, 0.001932
81, 0.001761
82, 0.001764
83, 0.001693
84, 0.001623
85, 0.001571
86, 0.001427
87, 0.001427
88, 0.001332
89, 0.001245
90, 0.001247
91, 0.001253
92, 0.001174
93, 0.001135
94, 0.001057
95, 0.001035
96, 0.000951
97, 0.000916
98, 0.000918
99, 0.000849
100, 0.000779
101, 0.00085
102, 0.000786
103, 0.000726
104, 0.000718
105, 0.00069
106, 0.000704
107, 0.000594
108, 0.0006
109, 0.000558
110, 0.000547
111, 0.000532
112, 0.000509
113, 0.000483
114, 0.000493
115, 0.000439
116, 0.000404
117, 0.000398
118, 0.000437
119, 0.000364
120, 0.000379
121, 0.000383
122, 0.000328
123, 0.000308
124, 0.000308
125, 0.00032
126, 0.0003
127, 0.000247
128, 0.000266
129, 0.000255
130, 0.000255
131, 0.000227
132, 0.00023
133, 0.000206
134, 0.000194
135, 0.000218
136, 0.000164
137, 0.000176
138, 0.000193
139, 0.000166
140, 0.000139
141, 0.00016
142, 0.000158
143, 0.000141
144, 0.000135
145, 0.000133
146, 0.000111
147, 0.000109
148, 0.000113
149, 0.000105
150, 0.000113
151, 0.00011
152, 0.000084
153, 0.000083
154, 0.000084
155, 0.000084
156, 0.000078
157, 0.000074
158, 0.000079
159, 0.000083
160, 0.000075
161, 0.000071
162, 0.00006
163, 0.00006
164, 0.000063
165, 0.000063
166, 0.000056
167, 0.000033
168, 0.000047
169, 0.000043
170, 0.000051
171, 0.000048
172, 0.000047
173, 0.000029
174, 0.000048
175, 0.00004
176, 0.000038
177, 0.000025
178, 0.000035
179, 0.000039
180, 0.000025
181, 0.00003
182, 0.000027
183, 0.000029
184, 0.000018
185, 0.000016
186, 0.000029
187, 0.000019
188, 0.000033
189, 0.000026
190, 0.000025
191, 0.000015
192, 0.000019
193, 0.00002
194, 0.000019
195, 0.00002
196, 0.00002
197, 0.000012
198, 0.000016
199, 0.000015
200, 0.000013
201, 0.000014
202, 0.000016
203, 0.000013
204, 0.000014
205, 0.000007
206, 0.000011
207, 0.000005
208, 0.000004
209, 0.000003
210, 0.000007
211, 0.000006
212, 0.000009
213, 0.000006
214, 0.000005
215, 0.000005
216, 0.000006
217, 0.000006
218, 0.000007
219, 0.000008
220, 0.000007
221, 0.000008
222, 0.00001
223, 0.000009
224, 0.000009
225, 0.000004
226, 0.000003
227, 0.000014
228, 0.000005
229, 0.000005
230, 0.000003
231, 0.000004
232, 0.000007
233, 0.000005
234, 0.000001
235, 0.000005
236, 0.000003
237, 0.000004
238, 0.000006
239, 0.000004
240, 0.000002
242, 0.000002
243, 0.000002
244, 0.000001
245, 0.000006
246, 0.000001
247, 0.000001
248, 0.000004
249, 0.000002
250, 0.000003
251, 0.000003
252, 0.000001
253, 0.000002
254, 0.000001
255, 0.000001
256, 0.000003
258, 0.000001
259, 0.000001
260, 0.000001
261, 0.000002
263, 0.000001
265, 0.000001
269, 0.000002
272, 0.000001
277, 0.000001
280, 0.000001
284, 0.000002
286, 0.000001
288, 0.000002
289, 0.000001
293, 0.000001
296, 0.000001
299, 0.000001
337, 0.000001
383, 0.000001
